CMDLINE python3 emg.py 4 64
MEM 0.921875 1676165127.6795
MEM 11.101562 1676165127.8181
MEM 34.585938 1676165127.9589
MEM 44.386719 1676165128.0949
MEM 52.667969 1676165128.2307
MEM 59.960938 1676165128.3681
MEM 66.652344 1676165128.5062
MEM 71.917969 1676165128.6432
MEM 80.863281 1676165128.7807
MEM 98.730469 1676165128.9330
MEM 112.605469 1676165129.0960
MEM 120.660156 1676165129.2362
MEM 124.699219 1676165129.3755
MEM 127.914062 1676165129.5129
MEM 128.945312 1676165129.6824
MEM 133.207031 1676165129.8219
MEM 137.132812 1676165129.9614
MEM 139.968750 1676165130.1030
MEM 143.578125 1676165130.2434
MEM 146.214844 1676165130.3816
MEM 148.535156 1676165130.5210
MEM 150.597656 1676165130.6631
MEM 157.535156 1676165130.8043
MEM 163.109375 1676165130.9755
MEM 167.804688 1676165131.1229
MEM 172.601562 1676165131.2687
MEM 177.695312 1676165131.4161
MEM 182.359375 1676165131.5619
MEM 189.519531 1676165131.7077
MEM 201.730469 1676165131.8538
MEM 193.492188 1676165132.0017
MEM 193.492188 1676165132.1457
MEM 193.492188 1676165132.2863
MEM 193.492188 1676165132.4280
MEM 193.492188 1676165132.5686
MEM 193.492188 1676165132.7097
MEM 193.492188 1676165132.8498
MEM 193.492188 1676165132.9913
MEM 193.492188 1676165133.1315
MEM 193.492188 1676165133.2734
MEM 193.492188 1676165133.4147
MEM 193.492188 1676165133.5587
MEM 193.492188 1676165133.6978
MEM 193.492188 1676165133.8415
MEM 193.492188 1676165133.9819
MEM 193.492188 1676165134.1248
MEM 193.492188 1676165134.2650
MEM 193.492188 1676165134.4076
MEM 193.492188 1676165134.5478
MEM 193.492188 1676165134.6927
MEM 196.226562 1676165134.8405
MEM 198.066406 1676165135.0135
MEM 197.921875 1676165135.1971
MEM 199.519531 1676165135.3412
MEM 199.039062 1676165135.5054
MEM 200.179688 1676165135.6574
MEM 200.609375 1676165135.8099
MEM 200.148438 1676165136.0106
MEM 199.277344 1676165136.1888
MEM 200.593750 1676165136.3471
MEM 200.593750 1676165136.4858
MEM 200.593750 1676165136.6270
MEM 200.593750 1676165136.7774
MEM 200.593750 1676165136.9234
MEM 200.593750 1676165137.0698
MEM 200.593750 1676165137.2176
MEM 200.593750 1676165137.3629
MEM 200.593750 1676165137.5097
MEM 200.593750 1676165137.6554
MEM 200.593750 1676165137.8038
MEM 200.593750 1676165137.9518
MEM 200.593750 1676165138.0982
MEM 200.593750 1676165138.2599
MEM 200.593750 1676165138.4201
MEM 200.593750 1676165138.5684
MEM 200.593750 1676165138.7384
MEM 200.593750 1676165138.8931
MEM 200.593750 1676165139.0326
MEM 200.593750 1676165139.1790
MEM 200.593750 1676165139.3207
MEM 200.593750 1676165139.4638
MEM 200.906250 1676165139.6614
MEM 200.906250 1676165139.8461
MEM 200.039062 1676165140.0114
MEM 199.542969 1676165140.1715
MEM 199.542969 1676165140.3478
